"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17","should return empty array when cursor is beyond array length","","Tue Jul 15 19:18:53 UTC 2025","passed","Tue Jul 15 19:18:53 UTC 2025","","Granny","Granny","should return empty array when cursor is beyond array length"
"","22","should handle requestPayout with empty array (no error, no payout)","","Tue Jul 15 19:18:53 UTC 2025","passed","Tue Jul 15 19:18:53 UTC 2025","","FamilyChoreContract","FamilyChoreContract","should handle requestPayout with empty array (no error, no payout)"
"","67","Should level up the account and sell at level 20 with event emitted","","Tue Jul 15 19:18:53 UTC 2025","passed","Tue Jul 15 19:18:53 UTC 2025","","AccountSale","AccountSale","Should level up the account and sell at level 20 with event emitted"
"","12","should receive ether and increase husband balance","","Tue Jul 15 19:18:53 UTC 2025","passed","Tue Jul 15 19:18:53 UTC 2025","","FamilyChoreContract","FamilyChoreContract","should receive ether and increase husband balance"
"","19","should only allow owner to add weekly allowance","","Tue Jul 15 19:18:52 UTC 2025","passed","Tue Jul 15 19:18:52 UTC 2025","","FamilyChoreContract","FamilyChoreContract","should only allow owner to add weekly allowance"
"","49","Should handle insufficient funds during sale","","Tue Jul 15 19:18:53 UTC 2025","passed","Tue Jul 15 19:18:53 UTC 2025","","AccountSale","AccountSale","Should handle insufficient funds during sale"
"","33","should not allow payout if not enough accumulated","","Tue Jul 15 19:18:52 UTC 2025","passed","Tue Jul 15 19:18:52 UTC 2025","","FamilyChoreContract","FamilyChoreContract","should not allow payout if not enough accumulated"
"","32","should allow wife to take advance","","Tue Jul 15 19:18:52 UTC 2025","passed","Tue Jul 15 19:18:52 UTC 2025","","FamilyChoreContract","FamilyChoreContract","should allow wife to take advance"
"","20","should revert if grandchild already withdrew","","Tue Jul 15 19:18:53 UTC 2025","passed","Tue Jul 15 19:18:53 UTC 2025","","Granny","Granny","should revert if grandchild already withdrew"
"","55","should allow wife to request payout for chores","","Tue Jul 15 19:18:52 UTC 2025","passed","Tue Jul 15 19:18:52 UTC 2025","","FamilyChoreContract","FamilyChoreContract","should allow wife to request payout for chores"
"","28","should not allow advance if not enough accumulated","","Tue Jul 15 19:18:52 UTC 2025","passed","Tue Jul 15 19:18:52 UTC 2025","","FamilyChoreContract","FamilyChoreContract","should not allow advance if not enough accumulated"
"","4","Hamster№2 should make good money","","Tue Jul 15 19:18:53 UTC 2025","passed","Tue Jul 15 19:18:53 UTC 2025","","MagicBeans","MagicBeans","Hamster№2 should make good money"
"","28","should increment counter correctly when adding multiple grandchildren","","Tue Jul 15 19:18:53 UTC 2025","passed","Tue Jul 15 19:18:53 UTC 2025","","Granny","Granny","should increment counter correctly when adding multiple grandchildren"
"","8","Should receive ETH directly","","Tue Jul 15 19:18:53 UTC 2025","passed","Tue Jul 15 19:18:53 UTC 2025","","AccountSale","AccountSale","Should receive ETH directly"
"","9","Should fail to level up if account does not exist","","Tue Jul 15 19:18:53 UTC 2025","passed","Tue Jul 15 19:18:53 UTC 2025","","AccountSale","AccountSale","Should fail to level up if account does not exist"
"","17","Should allow multiple different accounts to be created","","Tue Jul 15 19:18:53 UTC 2025","passed","Tue Jul 15 19:18:53 UTC 2025","","AccountSale","AccountSale","Should allow multiple different accounts to be created"
"","32","should not allow payout if not enough husband balance","","Tue Jul 15 19:18:52 UTC 2025","passed","Tue Jul 15 19:18:52 UTC 2025","","FamilyChoreContract","FamilyChoreContract","should not allow payout if not enough husband balance"
"","9","Hamster№2 should has 19 beans planted","","Tue Jul 15 19:18:53 UTC 2025","passed","Tue Jul 15 19:18:53 UTC 2025","","MagicBeans","MagicBeans","Hamster№2 should has 19 beans planted"
"","44","should not allow double payout for same chore","","Tue Jul 15 19:18:52 UTC 2025","passed","Tue Jul 15 19:18:52 UTC 2025","","FamilyChoreContract","FamilyChoreContract","should not allow double payout for same chore"
"","19","should revert if birthday hasn't arrived","","Tue Jul 15 19:18:53 UTC 2025","failed","Tue Jul 15 19:18:53 UTC 2025","","Granny","Granny","should revert if birthday hasn't arrived"
"","27","should not allow advance if not enough husband balance","","Tue Jul 15 19:18:52 UTC 2025","broken","Tue Jul 15 19:18:52 UTC 2025","","FamilyChoreContract","FamilyChoreContract","should not allow advance if not enough husband balance"
"","12","Should fail to create a new account if already created","","Tue Jul 15 19:18:53 UTC 2025","passed","Tue Jul 15 19:18:53 UTC 2025","","AccountSale","AccountSale","Should fail to create a new account if already created"
"","18","should revert requestPayout with non-existent choreId","","Tue Jul 15 19:18:53 UTC 2025","passed","Tue Jul 15 19:18:53 UTC 2025","","FamilyChoreContract","FamilyChoreContract","should revert requestPayout with non-existent choreId"
"","17","should receive ether via receive() and increase husband balance","","Tue Jul 15 19:18:53 UTC 2025","passed","Tue Jul 15 19:18:53 UTC 2025","","FamilyChoreContract","FamilyChoreContract","should receive ether via receive() and increase husband balance"
"","10","should revert if caller is not a grandchild","","Tue Jul 15 19:18:53 UTC 2025","passed","Tue Jul 15 19:18:53 UTC 2025","","Granny","Granny","should revert if caller is not a grandchild"
"","23","should not allow weekly allowance before 7 days","","Tue Jul 15 19:18:52 UTC 2025","passed","Tue Jul 15 19:18:52 UTC 2025","","FamilyChoreContract","FamilyChoreContract","should not allow weekly allowance before 7 days"
"","17","should revert when adding the same grandchild twice","","Tue Jul 15 19:18:53 UTC 2025","passed","Tue Jul 15 19:18:53 UTC 2025","","Granny","Granny","should revert when adding the same grandchild twice"
"","6","Hamster№1 should has 9.5 beans planted","","Tue Jul 15 19:18:53 UTC 2025","passed","Tue Jul 15 19:18:53 UTC 2025","","MagicBeans","MagicBeans","Hamster№1 should has 9.5 beans planted"
"","22","should add a grandchild and increment counter","","Tue Jul 15 19:18:53 UTC 2025","passed","Tue Jul 15 19:18:53 UTC 2025","","Granny","Granny","should add a grandchild and increment counter"
"","14","Should not allow non-owner to create account for another user","","Tue Jul 15 19:18:53 UTC 2025","passed","Tue Jul 15 19:18:53 UTC 2025","","AccountSale","AccountSale","Should not allow non-owner to create account for another user"
"","15","Should create a new account with payment >= 0.01 ETH","","Tue Jul 15 19:18:53 UTC 2025","passed","Tue Jul 15 19:18:53 UTC 2025","","AccountSale","AccountSale","Should create a new account with payment >= 0.01 ETH"
"","8","Should fail to create account if payment is less than 0.01 ETH","","Tue Jul 15 19:18:53 UTC 2025","passed","Tue Jul 15 19:18:53 UTC 2025","","AccountSale","AccountSale","Should fail to create account if payment is less than 0.01 ETH"
"","16","should revert when non-wife tries to request payout","","Tue Jul 15 19:18:53 UTC 2025","passed","Tue Jul 15 19:18:53 UTC 2025","","FamilyChoreContract","FamilyChoreContract","should revert when non-wife tries to request payout"
"","27","should add weekly allowance after 7 days","","Tue Jul 15 19:18:52 UTC 2025","passed","Tue Jul 15 19:18:52 UTC 2025","","FamilyChoreContract","FamilyChoreContract","should add weekly allowance after 7 days"
"","56","should set correct owner and wife","","Tue Jul 15 19:18:52 UTC 2025","passed","Tue Jul 15 19:18:52 UTC 2025","","FamilyChoreContract","FamilyChoreContract","should set correct owner and wife"
"","32","should revert if ether transfer fails","","Tue Jul 15 19:18:53 UTC 2025","passed","Tue Jul 15 19:18:53 UTC 2025","","Granny","Granny","should revert if ether transfer fails"
"","11","should accept ETH and update bank and balance correctly","","Tue Jul 15 19:18:53 UTC 2025","passed","Tue Jul 15 19:18:53 UTC 2025","","Granny","Granny","should accept ETH and update bank and balance correctly"
"","15","should revert when non-wife tries to take advance","","Tue Jul 15 19:18:53 UTC 2025","passed","Tue Jul 15 19:18:53 UTC 2025","","FamilyChoreContract","FamilyChoreContract","should revert when non-wife tries to take advance"
"","14","should revert when non-owner tries to add weekly allowance","","Tue Jul 15 19:18:53 UTC 2025","passed","Tue Jul 15 19:18:53 UTC 2025","","FamilyChoreContract","FamilyChoreContract","should revert when non-owner tries to add weekly allowance"
"","20","should allow grandchild to withdraw money and emit event","","Tue Jul 15 19:18:53 UTC 2025","passed","Tue Jul 15 19:18:53 UTC 2025","","Granny","Granny","should allow grandchild to withdraw money and emit event"
