"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","should not allow advance if not enough husband balance","","Tue Jul 15 19:08:21 UTC 2025","broken","Tue Jul 15 19:08:21 UTC 2025","","FamilyChoreContract","FamilyChoreContract","should not allow advance if not enough husband balance"
"","13","should receive ether and increase husband balance","","Tue Jul 15 19:08:21 UTC 2025","passed","Tue Jul 15 19:08:21 UTC 2025","","FamilyChoreContract","FamilyChoreContract","should receive ether and increase husband balance"
"","36","should allow wife to request payout for chores","","Tue Jul 15 19:08:21 UTC 2025","passed","Tue Jul 15 19:08:21 UTC 2025","","FamilyChoreContract","FamilyChoreContract","should allow wife to request payout for chores"
"","16","should handle requestPayout with empty array (no error, no payout)","","Tue Jul 15 19:08:21 UTC 2025","passed","Tue Jul 15 19:08:21 UTC 2025","","FamilyChoreContract","FamilyChoreContract","should handle requestPayout with empty array (no error, no payout)"
"","15","should revert when non-owner tries to add weekly allowance","","Tue Jul 15 19:08:21 UTC 2025","passed","Tue Jul 15 19:08:21 UTC 2025","","FamilyChoreContract","FamilyChoreContract","should revert when non-owner tries to add weekly allowance"
"","2","Hamster№1 should has 9.5 beans for sale","","Tue Jul 15 19:08:22 UTC 2025","passed","Tue Jul 15 19:08:22 UTC 2025","","MagicBeans","MagicBeans","Hamster№1 should has 9.5 beans for sale"
"","11","should accept ETH and update bank and balance correctly","","Tue Jul 15 19:08:21 UTC 2025","passed","Tue Jul 15 19:08:21 UTC 2025","","Granny","Granny","should accept ETH and update bank and balance correctly"
"","17","should revert if grandchild already withdrew","","Tue Jul 15 19:08:21 UTC 2025","passed","Tue Jul 15 19:08:21 UTC 2025","","Granny","Granny","should revert if grandchild already withdrew"
"","14","should revert if birthday hasn't arrived","","Tue Jul 15 19:08:21 UTC 2025","failed","Tue Jul 15 19:08:21 UTC 2025","","Granny","Granny","should revert if birthday hasn't arrived"
"","15","Should allow multiple different accounts to be created","","Tue Jul 15 19:08:21 UTC 2025","passed","Tue Jul 15 19:08:21 UTC 2025","","AccountSale","AccountSale","Should allow multiple different accounts to be created"
"","15","should revert requestPayout with non-existent choreId","","Tue Jul 15 19:08:21 UTC 2025","passed","Tue Jul 15 19:08:21 UTC 2025","","FamilyChoreContract","FamilyChoreContract","should revert requestPayout with non-existent choreId"
"","9","Should fail to create account if payment is less than 0.01 ETH","","Tue Jul 15 19:08:21 UTC 2025","passed","Tue Jul 15 19:08:21 UTC 2025","","AccountSale","AccountSale","Should fail to create account if payment is less than 0.01 ETH"
"","21","should not allow weekly allowance before 7 days","","Tue Jul 15 19:08:21 UTC 2025","passed","Tue Jul 15 19:08:21 UTC 2025","","FamilyChoreContract","FamilyChoreContract","should not allow weekly allowance before 7 days"
"","19","should not allow payout if not enough accumulated","","Tue Jul 15 19:08:21 UTC 2025","passed","Tue Jul 15 19:08:21 UTC 2025","","FamilyChoreContract","FamilyChoreContract","should not allow payout if not enough accumulated"
"","2","Hamster№1 should has 9.5 beans planted","","Tue Jul 15 19:08:22 UTC 2025","passed","Tue Jul 15 19:08:22 UTC 2025","","MagicBeans","MagicBeans","Hamster№1 should has 9.5 beans planted"
"","13","should return empty array when cursor is beyond array length","","Tue Jul 15 19:08:22 UTC 2025","passed","Tue Jul 15 19:08:22 UTC 2025","","Granny","Granny","should return empty array when cursor is beyond array length"
"","14","should allow wife to save for next week (no payout)","","Tue Jul 15 19:08:21 UTC 2025","passed","Tue Jul 15 19:08:21 UTC 2025","","FamilyChoreContract","FamilyChoreContract","should allow wife to save for next week (no payout)"
"","25","should not allow double payout for same chore","","Tue Jul 15 19:08:21 UTC 2025","passed","Tue Jul 15 19:08:21 UTC 2025","","FamilyChoreContract","FamilyChoreContract","should not allow double payout for same chore"
"","16","should receive ether via receive() and increase husband balance","","Tue Jul 15 19:08:21 UTC 2025","passed","Tue Jul 15 19:08:21 UTC 2025","","FamilyChoreContract","FamilyChoreContract","should receive ether via receive() and increase husband balance"
"","12","should revert when non-owner tries to add grandchild","","Tue Jul 15 19:08:21 UTC 2025","passed","Tue Jul 15 19:08:21 UTC 2025","","Granny","Granny","should revert when non-owner tries to add grandchild"
"","14","should revert when non-wife tries to request payout","","Tue Jul 15 19:08:21 UTC 2025","passed","Tue Jul 15 19:08:21 UTC 2025","","FamilyChoreContract","FamilyChoreContract","should revert when non-wife tries to request payout"
"","15","should allow grandchild to withdraw money and emit event","","Tue Jul 15 19:08:21 UTC 2025","passed","Tue Jul 15 19:08:21 UTC 2025","","Granny","Granny","should allow grandchild to withdraw money and emit event"
"","9","Should receive ETH directly","","Tue Jul 15 19:08:21 UTC 2025","passed","Tue Jul 15 19:08:21 UTC 2025","","AccountSale","AccountSale","Should receive ETH directly"
"","15","should only allow owner to add weekly allowance","","Tue Jul 15 19:08:21 UTC 2025","passed","Tue Jul 15 19:08:21 UTC 2025","","FamilyChoreContract","FamilyChoreContract","should only allow owner to add weekly allowance"
"","11","Should fail to create account without payment","","Tue Jul 15 19:08:21 UTC 2025","passed","Tue Jul 15 19:08:21 UTC 2025","","AccountSale","AccountSale","Should fail to create account without payment"
"","13","Should not allow non-owner to create account for another user","","Tue Jul 15 19:08:21 UTC 2025","passed","Tue Jul 15 19:08:21 UTC 2025","","AccountSale","AccountSale","Should not allow non-owner to create account for another user"
"","11","Should fail to level up if account does not exist","","Tue Jul 15 19:08:21 UTC 2025","passed","Tue Jul 15 19:08:21 UTC 2025","","AccountSale","AccountSale","Should fail to level up if account does not exist"
"","54","Should level up the account and sell at level 20 with event emitted","","Tue Jul 15 19:08:21 UTC 2025","passed","Tue Jul 15 19:08:21 UTC 2025","","AccountSale","AccountSale","Should level up the account and sell at level 20 with event emitted"
"","12","should set the owner correctly","","Tue Jul 15 19:08:21 UTC 2025","passed","Tue Jul 15 19:08:21 UTC 2025","","Granny","Granny","should set the owner correctly"
"","17","should revert when non-wife tries to take advance","","Tue Jul 15 19:08:21 UTC 2025","passed","Tue Jul 15 19:08:21 UTC 2025","","FamilyChoreContract","FamilyChoreContract","should revert when non-wife tries to take advance"
"","22","should allow wife to take advance","","Tue Jul 15 19:08:21 UTC 2025","passed","Tue Jul 15 19:08:21 UTC 2025","","FamilyChoreContract","FamilyChoreContract","should allow wife to take advance"
"","2","Contract should be successfully deployed, account0 is owner","","Tue Jul 15 19:08:22 UTC 2025","passed","Tue Jul 15 19:08:22 UTC 2025","","MagicBeans","MagicBeans","Contract should be successfully deployed, account0 is owner"
"","36","Should fail to level up if account is already sold","","Tue Jul 15 19:08:21 UTC 2025","passed","Tue Jul 15 19:08:21 UTC 2025","","AccountSale","AccountSale","Should fail to level up if account is already sold"
"","2","Hamster№1 late and didn't have time to withdraw money","","Tue Jul 15 19:08:22 UTC 2025","passed","Tue Jul 15 19:08:22 UTC 2025","","MagicBeans","MagicBeans","Hamster№1 late and didn't have time to withdraw money"
"","5","Hamster№3 should has 9.5 beans planted","","Tue Jul 15 19:08:22 UTC 2025","passed","Tue Jul 15 19:08:22 UTC 2025","","MagicBeans","MagicBeans","Hamster№3 should has 9.5 beans planted"
"","16","should not allow advance if not enough accumulated","","Tue Jul 15 19:08:21 UTC 2025","passed","Tue Jul 15 19:08:21 UTC 2025","","FamilyChoreContract","FamilyChoreContract","should not allow advance if not enough accumulated"
"","23","should increment counter correctly when adding multiple grandchildren","","Tue Jul 15 19:08:22 UTC 2025","passed","Tue Jul 15 19:08:22 UTC 2025","","Granny","Granny","should increment counter correctly when adding multiple grandchildren"
"","16","should add a grandchild and increment counter","","Tue Jul 15 19:08:21 UTC 2025","passed","Tue Jul 15 19:08:21 UTC 2025","","Granny","Granny","should add a grandchild and increment counter"
"","19","should not allow payout if not enough husband balance","","Tue Jul 15 19:08:21 UTC 2025","passed","Tue Jul 15 19:08:21 UTC 2025","","FamilyChoreContract","FamilyChoreContract","should not allow payout if not enough husband balance"
"","41","should only allow wife to add chores","","Tue Jul 15 19:08:21 UTC 2025","passed","Tue Jul 15 19:08:21 UTC 2025","","FamilyChoreContract","FamilyChoreContract","should only allow wife to add chores"
