"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25","should revert requestPayout with non-existent choreId","","Fri Apr 17 07:54:44 UTC 2026","passed","Fri Apr 17 07:54:44 UTC 2026","","FamilyChoreContract","FamilyChoreContract","should revert requestPayout with non-existent choreId"
"","6","Hamster№1 should has 9.5 beans planted","","Fri Apr 17 07:54:45 UTC 2026","passed","Fri Apr 17 07:54:45 UTC 2026","","MagicBeans","MagicBeans","Hamster№1 should has 9.5 beans planted"
"","51","Should handle insufficient funds during sale","","Fri Apr 17 07:54:44 UTC 2026","passed","Fri Apr 17 07:54:45 UTC 2026","","AccountSale","AccountSale","Should handle insufficient funds during sale"
"","29","should not allow advance if not enough husband balance","","Fri Apr 17 07:54:44 UTC 2026","broken","Fri Apr 17 07:54:44 UTC 2026","","FamilyChoreContract","FamilyChoreContract","should not allow advance if not enough husband balance"
"","12","should set the owner correctly","","Fri Apr 17 07:54:45 UTC 2026","passed","Fri Apr 17 07:54:45 UTC 2026","","Granny","Granny","should set the owner correctly"
"","31","should increment counter correctly when adding multiple grandchildren","","Fri Apr 17 07:54:45 UTC 2026","passed","Fri Apr 17 07:54:45 UTC 2026","","Granny","Granny","should increment counter correctly when adding multiple grandchildren"
"","20","Should allow multiple different accounts to be created","","Fri Apr 17 07:54:44 UTC 2026","passed","Fri Apr 17 07:54:44 UTC 2026","","AccountSale","AccountSale","Should allow multiple different accounts to be created"
"","107","should return paginated grandchild list","","Fri Apr 17 07:54:45 UTC 2026","passed","Fri Apr 17 07:54:45 UTC 2026","","Granny","Granny","should return paginated grandchild list"
"","13","should receive ether and increase husband balance","","Fri Apr 17 07:54:44 UTC 2026","passed","Fri Apr 17 07:54:44 UTC 2026","","FamilyChoreContract","FamilyChoreContract","should receive ether and increase husband balance"
"","4","Hamster№2 should make good money","","Fri Apr 17 07:54:45 UTC 2026","passed","Fri Apr 17 07:54:45 UTC 2026","","MagicBeans","MagicBeans","Hamster№2 should make good money"
"","37","should allow wife to save for next week (no payout)","","Fri Apr 17 07:54:44 UTC 2026","passed","Fri Apr 17 07:54:44 UTC 2026","","FamilyChoreContract","FamilyChoreContract","should allow wife to save for next week (no payout)"
"","4","Hamster№1 should has 9.5 beans for sale","","Fri Apr 17 07:54:45 UTC 2026","passed","Fri Apr 17 07:54:45 UTC 2026","","MagicBeans","MagicBeans","Hamster№1 should has 9.5 beans for sale"
"","17","should revert when non-wife tries to take advance","","Fri Apr 17 07:54:44 UTC 2026","passed","Fri Apr 17 07:54:44 UTC 2026","","FamilyChoreContract","FamilyChoreContract","should revert when non-wife tries to take advance"
"","9","Should receive ETH directly","","Fri Apr 17 07:54:44 UTC 2026","passed","Fri Apr 17 07:54:44 UTC 2026","","AccountSale","AccountSale","Should receive ETH directly"
"","10","Should fail to create account if payment is less than 0.01 ETH","","Fri Apr 17 07:54:45 UTC 2026","passed","Fri Apr 17 07:54:45 UTC 2026","","AccountSale","AccountSale","Should fail to create account if payment is less than 0.01 ETH"
"","26","should add weekly allowance after 7 days","","Fri Apr 17 07:54:44 UTC 2026","passed","Fri Apr 17 07:54:44 UTC 2026","","FamilyChoreContract","FamilyChoreContract","should add weekly allowance after 7 days"
"","24","should add a grandchild and increment counter","","Fri Apr 17 07:54:45 UTC 2026","passed","Fri Apr 17 07:54:45 UTC 2026","","Granny","Granny","should add a grandchild and increment counter"
"","15","should revert when non-owner tries to add grandchild","","Fri Apr 17 07:54:45 UTC 2026","passed","Fri Apr 17 07:54:45 UTC 2026","","Granny","Granny","should revert when non-owner tries to add grandchild"
"","14","should accept ETH and update bank and balance correctly","","Fri Apr 17 07:54:45 UTC 2026","passed","Fri Apr 17 07:54:45 UTC 2026","","Granny","Granny","should accept ETH and update bank and balance correctly"
"","56","should set correct owner and wife","","Fri Apr 17 07:54:44 UTC 2026","passed","Fri Apr 17 07:54:44 UTC 2026","","FamilyChoreContract","FamilyChoreContract","should set correct owner and wife"
"","8","Hamster№3 should has 9.5 beans planted","","Fri Apr 17 07:54:45 UTC 2026","passed","Fri Apr 17 07:54:45 UTC 2026","","MagicBeans","MagicBeans","Hamster№3 should has 9.5 beans planted"
"","20","should allow grandchild to withdraw money and emit event","","Fri Apr 17 07:54:45 UTC 2026","passed","Fri Apr 17 07:54:45 UTC 2026","","Granny","Granny","should allow grandchild to withdraw money and emit event"
"","24","should revert if grandchild already withdrew","","Fri Apr 17 07:54:45 UTC 2026","passed","Fri Apr 17 07:54:45 UTC 2026","","Granny","Granny","should revert if grandchild already withdrew"
"","18","should revert when adding the same grandchild twice","","Fri Apr 17 07:54:45 UTC 2026","passed","Fri Apr 17 07:54:45 UTC 2026","","Granny","Granny","should revert when adding the same grandchild twice"
"","31","should not allow payout if not enough accumulated","","Fri Apr 17 07:54:44 UTC 2026","passed","Fri Apr 17 07:54:44 UTC 2026","","FamilyChoreContract","FamilyChoreContract","should not allow payout if not enough accumulated"
"","67","Should level up the account and sell at level 20 with event emitted","","Fri Apr 17 07:54:44 UTC 2026","passed","Fri Apr 17 07:54:44 UTC 2026","","AccountSale","AccountSale","Should level up the account and sell at level 20 with event emitted"
"","22","should return empty array when cursor is beyond array length","","Fri Apr 17 07:54:45 UTC 2026","passed","Fri Apr 17 07:54:45 UTC 2026","","Granny","Granny","should return empty array when cursor is beyond array length"
"","53","Should fail to level up if account is already sold","","Fri Apr 17 07:54:44 UTC 2026","passed","Fri Apr 17 07:54:44 UTC 2026","","AccountSale","AccountSale","Should fail to level up if account is already sold"
"","4","Hamster№1 late and didn't have time to withdraw money","","Fri Apr 17 07:54:45 UTC 2026","passed","Fri Apr 17 07:54:45 UTC 2026","","MagicBeans","MagicBeans","Hamster№1 late and didn't have time to withdraw money"
"","34","should receive ether via receive() and increase husband balance","","Fri Apr 17 07:54:44 UTC 2026","passed","Fri Apr 17 07:54:44 UTC 2026","","FamilyChoreContract","FamilyChoreContract","should receive ether via receive() and increase husband balance"
"","30","should not allow payout if not enough husband balance","","Fri Apr 17 07:54:44 UTC 2026","passed","Fri Apr 17 07:54:44 UTC 2026","","FamilyChoreContract","FamilyChoreContract","should not allow payout if not enough husband balance"
